time_step,hour,time_of_day,traffic_phase,north_vehicles,south_vehicles,east_vehicles,west_vehicles,total_vehicles,north_vehicles_norm,south_vehicles_norm,east_vehicles_norm,west_vehicles_norm,total_vehicles_norm,queue_north,queue_south,queue_east,queue_west,queue_north_norm,queue_south_norm,queue_east_norm,queue_west_norm,wait_north,wait_south,wait_east,wait_west,avg_wait_time,density,congestion_level,pso_best_fitness,pso_improvement_pct,green_time_north,green_time_south,green_time_east,green_time_west,throughput_per_step,fuel_saved_litres,signal_efficiency_pct,peak_hour_flag,emergency_occurred
0,6,Early Morning,LOW,1.034,0.903,0.938,1.09,3.965,0.11457418788410886,0.09684086211987011,0.10027612265659061,0.1207897793263647,0.10887066435934092,2,1,1,1,0.11764705882352941,0.05555555555555555,0.05555555555555555,0.05263157894736842,1.6402,1.3578,1.6804,1.4527,1.532775,0.1524,LOW,1.7895,17.86,11,18,20,18,0.0,0.0,86.5,0,0
0,6,Early Morning,LOW,0.837,0.735,0.717,0.933,3.2220000000000004,0.08574773192859234,0.07204015352819604,0.06815869786368262,0.09799651567944251,0.08091941915581975,0,3,0,1,0.0,0.16666666666666666,0.0,0.05263157894736842,1.5338,1.2296,1.5045,1.1303,1.34955,0.1481,LOW,1.7768,30.61,11,20,20,20,0.0,0.0,94.96,0,0
0,6,Early Morning,LOW,1.497,1.473,1.433,1.624,6.027000000000001,0.1823236757389523,0.18098612341304993,0.17221334108414477,0.19831591173054589,0.18644195320141455,2,2,2,3,0.11764705882352941,0.1111111111111111,0.1111111111111111,0.15789473684210525,1.2981,1.7211,1.836,1.0866,1.48545,0.2384,LOW,1.8558,13.37,12,16,12,18,0.0,0.0,86.06,0,0
0,6,Early Morning,LOW,0.822,0.642,0.654,0.866,2.984,0.08355282411472051,0.058311189843519344,0.0590030518819939,0.08826945412311266,0.07196599202467836,0,0,1,2,0.0,0.0,0.05555555555555555,0.10526315789473684,1.8205,1.2007,1.289,1.4509,1.440275,0.132,LOW,1.8299,20.71,20,13,16,12,0.0,0.0,92.78,0,0
0,6,Early Morning,LOW,1.336,1.338,1.327,1.285,5.2860000000000005,0.15876499853672812,0.1610569825804547,0.15680860340066852,0.1490998838559814,0.1585659468813483,0,3,1,1,0.0,0.16666666666666666,0.05555555555555555,0.05263157894736842,1.5659,1.1702,1.6015,1.3864,1.431,0.2283,LOW,1.7793,27.64,13,20,15,10,0.0,0.0,95.8,0,0
0,6,Early Morning,LOW,0.949,0.957,0.928,0.966,3.8,0.10213637693883523,0.10481251845290818,0.09882284551664003,0.10278745644599302,0.10266345647430591,0,0,1,4,0.0,0.0,0.05555555555555555,0.21052631578947367,1.628,1.2393,1.6802,1.5889,1.5341,0.1858,LOW,1.8862,30.29,17,16,19,16,0.0,0.0,94.15,0,0
0,6,Early Morning,LOW,0.86,0.83,0.766,0.974,3.4299999999999997,0.08911325724319577,0.086064363743726,0.0752797558494405,0.10394889663182347,0.08874426303513655,0,1,2,1,0.0,0.05555555555555555,0.1111111111111111,0.05263157894736842,1.0973,1.7891,1.5801,1.1949,1.41535,0.1473,LOW,1.7501,28.2,15,11,18,17,0.0,0.0,89.39,0,0
0,6,Early Morning,LOW,1.221,1.247,1.046,1.134,4.648,0.14193737196371087,0.14762326542663126,0.11597151576805698,0.12717770034843204,0.134564743059213,2,0,2,0,0.11764705882352941,0.0,0.1111111111111111,0.0,1.2749,1.3272,1.8321,1.696,1.53255,0.1844,LOW,1.9295,20.9,16,11,18,16,0.0,0.0,88.46,0,0
0,6,Early Morning,LOW,1.442,1.42,1.421,1.263,5.546,0.17427568042142227,0.17316209034543845,0.17046940851620407,0.14590592334494773,0.16834700173049436,0,1,1,0,0.0,0.05555555555555555,0.05555555555555555,0.0,1.6311,1.1978,1.5461,1.1314,1.3766,0.2017,LOW,1.7052,18.95,18,20,14,20,0.0,0.0,93.97,0,0
0,6,Early Morning,LOW,1.274,1.299,1.299,1.423,5.295,0.14969271290605793,0.15529967522881605,0.15273942740880686,0.16913472706155633,0.15890452185689566,0,2,0,0,0.0,0.1111111111111111,0.0,0.0,1.3548,1.7311,1.1098,1.2973,1.37325,0.2,LOW,1.7623,25.32,20,17,20,17,0.0,0.0,91.6,0,0
0,6,Early Morning,LOW,1.363,1.461,1.099,1.458,5.381,0.1627158326016974,0.17921464422793035,0.12367388460979509,0.17421602787456444,0.16213979384545937,0,1,0,1,0.0,0.05555555555555555,0.0,0.05263157894736842,1.4271,1.9373,1.1965,1.861,1.605475,0.2071,LOW,1.889,15.64,20,17,11,16,0.0,0.0,91.16,0,0
0,6,Early Morning,LOW,0.53,0.666,0.525,0.637,2.358,0.040825285338015806,0.06185414821375849,0.0402557767766313,0.05502322880371661,0.04841622150327289,0,0,0,0,0.0,0.0,0.0,0.0,1.8904,1.5974,1.4831,1.1476,1.529625,0.101,LOW,1.9461,21.54,20,10,20,12,0.0,0.0,92.71,0,0
0,6,Early Morning,LOW,1.126,1.441,1.476,1.509,5.552,0.12803628914252266,0.17626217891939772,0.1784624327859323,0.18162020905923343,0.16857271838085924,2,2,0,0,0.11764705882352941,0.1111111111111111,0.0,0.0,1.1805,1.4006,1.3508,1.7428,1.418675,0.2185,LOW,1.758,17.37,20,11,18,20,0.0,0.0,88.25,0,0
